spec,term,coef,se,t,p,ci_low,ci_high,n,r2,r2_adj
M1: bivariate,const,51.65082428603939,1.0562211327962034,48.90152514682297,0.0,49.58066890604873,53.72097966603005,38,0.26060988783126016,0.24007127360435077
M1: bivariate,cohesion_2019,-2.4187235885712726,0.7101504240109351,-3.405931344672447,0.0006593875885142808,-3.810592843238554,-1.0268543339039913,38,0.26060988783126016,0.24007127360435077
M2: + demographics,const,22.298323929436407,17.801006035094606,1.2526440295270593,0.21033528364970644,-12.591006787929167,57.18765464680198,38,0.3701096332556332,0.2937592857714676
M2: + demographics,cohesion_2019,-1.4229600092684558,1.2416280648770595,-1.1460436901523734,0.2517770749163861,-3.856506298621654,1.0105862800847423,38,0.3701096332556332,0.2937592857714676
M2: + demographics,log_pop,1.9169108508384984,1.1214866986680934,1.7092586591665075,0.08740304742665263,-0.2811626876916886,4.1149843893686855,38,0.3701096332556332,0.2937592857714676
M2: + demographics,urban_pct,-0.01819120954255188,0.10960575432908011,-0.16596947536107115,0.868180972107246,-0.23301454052589401,0.19663212144079026,38,0.3701096332556332,0.2937592857714676
M2: + demographics,pop_density,-0.004259895322390524,0.008325535886215046,-0.5116662015046766,0.6088846444538603,-0.020577645811367774,0.012057855166586726,38,0.3701096332556332,0.2937592857714676
M3: + economy,const,29.963421810571475,53.627954939340285,0.5587276606848748,0.5763475986440803,-75.14543843507238,135.07228205621533,38,0.3749050141582281,0.25391888786627215
M3: + economy,cohesion_2019,-1.5619855654083186,1.501444311602147,-1.04032201083873,0.2981903214056759,-4.504762340941061,1.3807912101244237,38,0.3749050141582281,0.25391888786627215
M3: + economy,log_pop,1.6353854920346556,1.357565806885379,1.204645464507293,0.22834019744308143,-1.0253945961037454,4.2961655801730565,38,0.3749050141582281,0.25391888786627215
M3: + economy,urban_pct,-0.02316527038516066,0.11562635470880187,-0.20034593707897322,0.8412100381517671,-0.24978876127806562,0.2034582205077443,38,0.3749050141582281,0.25391888786627215
M3: + economy,pop_density,-0.003450600059050374,0.009498398922402805,-0.3632822844397314,0.7163940256553516,-0.02206711985775393,0.015165919739653182,38,0.3749050141582281,0.25391888786627215
M3: + economy,log_gdp_pc,-0.4994479198788788,4.96955530505982,-0.10050153167032051,0.9199461668988252,-10.239597336976088,9.24070149721833,38,0.3749050141582281,0.25391888786627215
