term,coef,se,t,p,ci_low,ci_high,spec
const,-1.477338496386436,7.120996978062729,-0.20746231193997033,0.8356488230603698,-15.434236107407946,12.479559114635075,Cross-section + W*y (HC3)
p_score_mean,-0.00672462775428076,0.044359960593301766,-0.15159228422074297,0.8795085193728924,-0.09366855287276826,0.08021929736420674,Cross-section + W*y (HC3)
stringency_mean,0.01791057359043463,0.08997486472589576,0.19906196741721546,0.8422142714110081,-0.15843692078618438,0.19425806796705364,Cross-section + W*y (HC3)
log_pop,-0.40412268865587697,0.31111884534001755,-1.2989334934507641,0.19396675406760366,-1.0139044204339986,0.2056590431222447,Cross-section + W*y (HC3)
urban_pct,0.03101152023261642,0.027710485115842544,1.119125850845773,0.26308645287804155,-0.023300032588568192,0.08532307305380103,Cross-section + W*y (HC3)
health_exp_gdp,0.10057919603342554,0.15730718619074965,0.6393808094149231,0.5225752301193491,-0.20773722340978035,0.4088956154766314,Cross-section + W*y (HC3)
log_gdp_pc,0.3737449984708093,0.5848788247325651,0.6390127025742529,0.5228146683853248,-0.7725964333251332,1.5200864302667516,Cross-section + W*y (HC3)
Wy,0.389530259178534,0.5639028793674357,0.690775439230766,0.4897066725477509,-0.7156990751600746,1.4947595935171427,Cross-section + W*y (HC3)
